10,Q,H4,K,10
J,K,Q,J,J
Q,10,K,Q,Q
10,J,J,10,K
H5,Q,10,H5,J
A,H4,A,Q,10
K,H5,K,A,A
Q,SC,H5,SC,H5
J,K,Q,J,Q
10,H4,A,10,K
H4,Q,H3,H5,J
H3,A,H4,A,H4
A,H3,H2,H4,H3
H5,H2,H1,H3,H2
H2,H5,H5,H2,H5
H1,H1,W,H1,H1
W,W,H4,W,W
SC,H3,SC,H4,SC
10,A,Q,A,10
J,K,K,K,J
Q,Q,J,Q,Q
K,J,10,J,K
10,10,A,10,10
J,H5,H5,H5,J
Q,H4,H4,H4,Q
A,H3,H3,H3,A
K,H2,H2,H2,K
H5,SH,H5,SH,H5
SH,A,W,A,SH
GSH,K,SC,K,J
10,J,10,J,10
J,Q,J,Q,J
Q,K,Q,K,Q
K,10,K,10,K
10,J,10,J,10
H5,Q,H5,Q,H5
H4,A,H4,A,H4
H3,H5,H3,H5,H3
H2,SC,H2,SC,H2
H1,H3,H1,H3,H1
A,H2,A,H2,A
K,H1,K,H1,K
Q,W,Q,W,Q
J,A,J,A,J
10,K,10,K,10
J,Q,J,Q,J
W,J,W,J,W
SC,10,J,10,SC
H5,J,Q,J,H5
H4,Q,K,Q,H4
H3,K,10,K,H3
H2,10,J,10,H2
H1,J,Q,J,H1
A,Q,K,Q,A
K,SH,A,SH,K
Q,GSH,H5,A,Q
J,H2,H4,H2,J
10,H3,H3,H3,10
A,H4,H2,H4,A
K,H5,H1,H5,K
H4,H1,SH,H1,H4
